NAME,SYMBOL,LAST,CHANGE,%CHANGE,YTD %CHG,52WK%CHG,YIELD,PE,50 D MA,200 D MA,ANNUAL H,ANNUAL L,VLM,VLM CROSSES 50 D AVG VLM (H or L),
Carnival ,CCL,65.69,0.54,0.83,26.181,47.398,2.436,17.47,63.19,55.46,67.3,43.06,1.21M,-1903844.5,
Celgene,CELG,129.91,-1.78,-1.35,12.233,33.529,0,49.02,121.9,117.1,135.18,96.93,2.06M,-2115027.5,
Global Water Index,CGW,32.57,0.06,0.18,14.482,8.403,1.443,,32.52,30.43,33.19,28.27,40K,-20336.08,Global Water Index
Chesapeake Energy,CHK,4.95,-0.01,-0.2,-29.487,15.888,0,NA,5.22,6.04,8.2,4.13,12.7M,-27179961,
China Mobile,CHL,53.01,0.32,0.61,1.106,-8.998,4.447,13.22,54.27,55.86,63.89,51.73,132K,-368541.22,
China Construction Bank,CICHF,0.79,0.01,1.28,5.333,13.814,,,0.8062,0.7759,0.845,0.6403,3K,-29590.58,
Colgate-Palmolive,CL,74.25,0.13,0.18,13.463,1.257,2.155,26.81,74.39,71.05,77.27,63.43,1.34M,-2229149,
The Clorox Company,CLX,133.48,0.26,0.2,11.215,-3.736,2.517,26.33,135.11,127.24,141.76,111.24,228K,-480839.06,
Comcast,CMCSA,39.04,0.17,0.44,13.094,19.251,1.614,20.77,39.87,36.4,42.18,30.02,6.79M,-12238271,
Chipotle Mexican Grill,CMG,417,-2.18,-0.52,10.516,4.077,0,126.75,466.37,423.09,499,352.96,359K,-574192.75,
Comtech Telecommunications,CMTL,18.87,-0.28,-1.46,59.325,49.221,2.118,37.76,15.83,12.92,19.8,9.52,38K,-214113.55,
Capital One,COF,81.94,0.47,0.58,-6.075,28.279,1.953,12.45,80.76,82.83,96.92,59.66,916K,-2167873,
ConocoPhillips,COP,43.92,-0.16,-0.36,-12.405,1.101,2.413,NA,46.05,46.62,53.17,38.8,3.23M,-4978079.5,
Costco,COST,158.95,0.27,0.17,-0.718,1.044,1.258,27.55,173.26,163.36,183.18,142.11,1.2M,-2326644,
Copper Index,CPER,17.38,0.14,0.78,6.3,18.897,0,,16.72,16.53,19,13,104,-4311.98,Copper Index
Chesapeake Utilities,CPK,74.97,-0.13,-0.18,11.979,13.478,1.734,27.66,73.81,67.45,77.75,57.63,12K,-44178.48,
Camden Property Trust,CPT,86.04,0.13,0.15,2.343,-2.839,3.487,9.57,84.28,82.08,90.91,75.36,106K,-410562.38,
Salesforce.com,CRM,87.04,0.24,0.27,27.14,9.306,0,435.18,87.87,79.33,91.99,66.43,2.04M,-2845213.5,
Cisco Systems,CSCO,31.35,-0.05,-0.16,3.739,9.481,3.7,15.75,32.52,31.8,34.6,28.07,9.99M,-12542948,
CSX Corporation,CSX,54.32,0.5,0.93,51.183,106.365,1.473,29.68,52.38,42.61,55.06,25.25,1.97M,-6236364.5,
CVS Health,CVS,79.89,-0.38,-0.47,1.242,-16.158,2.503,16.64,79.21,80.55,98.66,69.3,1.4M,-5429333,
Chevron ,CVX,104.12,--,0,-11.538,-0.677,4.149,68.05,105.54,108.4,119,97.53,1.75M,-3819275.5,
